gene,l1norm,genelen,sampid1,sampid2
2-PB1,4.087719298245614,2307,4-10,2-18
3-PA,0.24347877044015015,2198,4-10,2-18
4-HA,8.410772573959946,1737,4-10,2-18
5-NP,2.111988444872412,1507,4-10,2-18
6-NA,6.0,1437,4-10,2-18
7-M,2.491220956165606,1003,4-10,2-18
8-NS,0.20287485110936143,864,4-10,2-18
1-PB2,6.639439004280512,2285,4-10,3-13
2-PB1,4.323367003018913,1985,4-10,3-13
3-PA,11.289001633275475,2090,4-10,3-13
4-HA,13.77271983081816,1730,4-10,3-13
5-NP,5.079419838962127,1507,4-10,3-13
6-NA,6.279742845817176,1437,4-10,3-13
7-M,2.6303024334114666,1003,4-10,3-13
8-NS,0.12512427045930366,864,4-10,3-13
1-PB2,4.652256411260554,2301,4-10,6-20
2-PB1,4.551561680762695,2232,4-10,6-20
3-PA,2.6756806848568297,2198,4-10,6-20
4-HA,12.852692583278904,1684,4-10,6-20
5-NP,4.281792539731744,1492,4-10,6-20
6-NA,6.446147996147996,1411,4-10,6-20
7-M,0.49122095616560557,1003,4-10,6-20
8-NS,0.18965279215848693,864,4-10,6-20
1-PB2,10.53304094424524,2172,4-10,3-1
2-PB1,6.181836945304437,2159,4-10,3-1
3-PA,6.452593782123193,2198,4-10,3-1
4-HA,8.834508675864317,1737,4-10,3-1
5-NP,10.28273512140037,1507,4-10,3-1
6-NA,5.6159055421482815,1437,4-10,3-1
7-M,6.491220956165606,1003,4-10,3-1
8-NS,6.22463994837549,864,4-10,3-1
1-PB2,2.3218094882098246,2301,4-10,3-29
2-PB1,12.185097575399173,2307,4-10,3-29
3-PA,4.364844130743563,2198,4-10,3-29
4-HA,14.177727840915214,1737,4-10,3-29
5-NP,6.064676616915423,1507,4-10,3-29
6-NA,13.85234899328859,1437,4-10,3-29
7-M,2.491220956165606,1003,4-10,3-29
8-NS,4.0,864,4-10,3-29
1-PB2,6.4201769209435655,1983,4-10,6-32
2-PB1,4.281167640947688,1644,4-10,6-32
3-PA,0.30379813322457083,1915,4-10,6-32
4-HA,6.255173805514783,1399,4-10,6-32
5-NP,4.460347832109965,1262,4-10,6-32
6-NA,4.363977319184485,1305,4-10,6-32
7-M,2.1798656448102944,1000,4-10,6-32
8-NS,0.30412552327996684,768,4-10,6-32
1-PB2,0.40464972489621526,2301,4-10,4-9
2-PB1,0.158434547908232,2307,4-10,4-9
3-PA,0.3096309203850234,2198,4-10,4-9
4-HA,0.22563203253198005,1737,4-10,4-9
5-NP,0.0646766169154229,1507,4-10,4-9
6-NA,0.041275797373358375,1437,4-10,4-9
7-M,0.3514457090501848,1002,4-10,4-9
8-NS,0.0,864,4-10,4-9
1-PB2,8.1400109544023,2301,6-23,2-30
2-PB1,10.381145995010387,2311,6-23,2-30
