sampid,gene,pi
H3N2_1413_T7_T_S504_N710_RP,4-HA,0.0004330287336060963
H3N2_1671_T0_T_S506_N707_R,5-NP,0.00026735294154134283
H3N2_3610_T2_N_S503_N705_R,5-NP,0.00031480073975943113
H3N2_3615_T1_N_S504_N708_R,1-PB2,0.0002283238224007838
H3N2_1867_T2_N_S507_N707_R,3-PA,0.00013239707659788472
H3N2_1828_T1_N_S503_N709_R,2-PB1,8.460070548193694e-05
H3N2_1701_T0_T_S517_N704_R,1-PB2,0.00023603686553849877
H3N2_1842_T2_T_S504_N707_R,1-PB2,5.0854995023447234e-05
H3N2_1875_T4_N_S508_N712_R,2-PB1,0.00025553981447626176
H3N2_1673_T0_T_S507_N701_R,2-PB1,0.000510926732333704
H3N2_1843_T5_N_S505_N703_R,3-PA,8.42420881437001e-05
H3N2_3615_T2_N_S504_N709_R,1-PB2,4.92989026357084e-05
H3N2_1843_T10_T_S505_N705_R,1-PB2,0.0002851425591130741
H3N2_1224_T2_T_S502_N704_RP,1-PB2,0.00019943982963272026
H3N2_1828_T1_N_S503_N709_R,1-PB2,0.0002165459027538512
H3N2_3612_T2_N_S503_N712_R,4-HA,0.000154930681022084
H3N2_3609_T3_N_S502_N712_R,1-PB2,8.220353627007389e-05
H3N2_1219_T2_N_S517_N709_R,6-NA,0.0004989551989065367
H3N2_1814_T0_N_S502_N706_R,4-HA,0.00041742406161474836
H3N2_1412_T0_N_S503_N712_R,1-PB2,0.00011510111821542094
H3N2_1828_T0_N_S503_N708_R,4-HA,0.00013117244364607182
H3N2_1868_T1_N_S507_N710_R,1-PB2,8.181373416312564e-05
H3N2_3615_T2_N_S504_N709_R,3-PA,0.00031132917157577285
H3N2_1219_T2_N_S517_N709_R,4-HA,0.0001680572208630984
H3N2_1828_T2_T_S503_N710_R,5-NP,0.00023748927622320464
H3N2_1850_T4_T_S506_N703_R,3-PA,0.00010073796750062808
H3N2_1815_T2_T_S503_N702_R,8-NS,9.638138678495964e-05
H3N2_1673_T2_T_S507_N703_R,2-PB1,0.0019736711266682538
H3N2_1860_T5_N_S506_N707_R,1-PB2,6.126713884778988e-05
H3N2_1878_T3_N_S517_N709_R,6-NA,0.0035673900583540145
H3N2_1231_T4_N_S503_N710_R,1-PB2,7.105087791368473e-05
H3N2_1814_T4_T_S502_N710_R,1-PB2,0.00011629360003840017
H3N2_1813_T4_T_S502_N705_R,4-HA,0.0002406069017749627
H3N2_1416_T1_N_S505_N703_R,3-PA,8.342911294961528e-05
H3N2_1850_T4_T_S506_N703_R,8-NS,0.0006173435994521997
H3N2_1418_T6_T_S505_N708_R,2-PB1,0.0001780912925099254
H3N2_1691_T4_N_S508_N712_RP,6-NA,0.000469507355280502
H3N2_1869_T0_N_S508_N701_R,1-PB2,0.00013064499700722896
H3N2_1840_T1_T_S503_N712_R,8-NS,0.00014331198890733284
H3N2_1848_T2_N_S505_N711_R,1-PB2,0.00019232919925218388
H3N2_1840_T0_T_S503_N711_R,3-PA,0.0002467764792993835
H3N2_1875_T1_N_S508_N710_R,2-PB1,0.0001926940997208927
H3N2_1224_T3_T_S502_N705_RP,6-NA,0.0002019650839072021
H3N2_1701_T3_T_S517_N707_R,2-PB1,0.0001309707815210183
H3N2_1850_T4_T_S506_N703_R,4-HA,7.893768928990646e-05
H3N2_1673_T1_N_S507_N702_R,8-NS,0.0004425789482797275
H3N2_1840_T2_N_S504_N701_R,4-HA,0.0001825445805357035
H3N2_1205_T2_T_S517_N703_R,7-M,0.00020023515757744255
H3N2_1860_T3_N_S506_N706_R,5-NP,0.00022349807469333724
H3N2_1224_T1_T_S502_N703_R,6-NA,0.00017990932741850704
H3N2_1707_T4_N_S517_N711_RP,4-HA,0.0001356991783594599
H3N2_1876_T3_N_S517_N705_R,2-PB1,0.0002011930633151862
H3N2_1224_T3_T_S502_N705_RP,5-NP,0.0005523932962832627
H3N2_1701_T3_T_S517_N707_R,1-PB2,0.00025809318102773505
H3N2_1672_T3_T_S506_N712_RP,2-PB1,0.00016590241067474952
H3N2_1868_T3_N_S507_N712_R,6-NA,0.0005496639453877853
H3N2_1221_T4_N_S502_N701_R,2-PB1,0.00021476398233610003
H3N2_1224_T2_T_S502_N704_RP,7-M,0.0002177266928145546
H3N2_1413_T2_T_S504_N706_R,6-NA,0.0002663476810132801
H3N2_3610_T2_N_S503_N705_R,1-PB2,0.0002530216406433016
H3N2_3610_T1_N_S503_N704_R,4-HA,8.196399276898017e-05
H3N2_1848_T1_N_S505_N710_R,2-PB1,0.0002497296441613097
H3N2_1843_T5_N_S505_N703_R,6-NA,6.703597361197432e-05
H3N2_1672_T2_T_S506_N711_R,8-NS,0.00016801489916610772
H3N2_1219_T3_N_S517_N710_RP,5-NP,0.00027740424160290026
H3N2_1843_T0_N_S504_N711_R,4-HA,0.00019130241747672172
H3N2_1866_T2_N_S507_N701_R,2-PB1,0.0001819060865392877
H3N2_1825_T3_N_S503_N707_R,5-NP,0.00030979416266895866
H3N2_1840_T2_N_S504_N701_R,2-PB1,7.380243985352083e-05
H3N2_1840_T1_T_S503_N712_R,5-NP,0.00012264294112805034
H3N2_3615_T2_N_S504_N709_R,6-NA,0.0001017605100234772
H3N2_1814_T5_T_S502_N711_R,5-NP,7.985180889863758e-05
H3N2_1418_T1_T_S505_N706_R,5-NP,0.00015805484883653633
H3N2_1701_T2_T_S517_N706_R,6-NA,0.0002993242475152244
H3N2_1867_T2_N_S507_N707_R,8-NS,0.0007381238024473579
H3N2_1219_T0_N_S517_N707_R,4-HA,6.62931314577891e-05
H3N2_1840_T1_T_S503_N712_R,1-PB2,0.00012243539944710216
H3N2_1843_T7_T_S505_N704_R,5-NP,0.00029385984353580956
H3N2_1412_T3_T_S504_N703_R,6-NA,0.0001359890086761462
H3N2_1231_T4_N_S503_N710_R,6-NA,0.0002415621452537923
H3N2_1673_T2_T_S507_N703_R,8-NS,0.0017696506357360695
H3N2_1842_T0_T_S504_N705_R,4-HA,0.00029274750286054676
H3N2_1876_T2_N_S517_N704_R,1-PB2,0.000219785273154626
H3N2_1868_T3_N_S507_N712_R,3-PA,4.583438678127882e-05
H3N2_1860_T3_N_S506_N706_R,1-PB2,0.00017037712569541012
H3N2_1860_T5_N_S506_N707_R,7-M,0.0005434253004935538
H3N2_1673_T1_N_S507_N702_R,5-NP,0.0009039758945809072
H3N2_1864_T2_T_S506_N710_R,2-PB1,0.000291045496763643
H3N2_1868_T2_N_S507_N711_R,6-NA,0.00044593682655989867
H3N2_1875_T5_N_S517_N701_R,6-NA,9.786838307130203e-05
H3N2_1219_T2_N_S517_N709_R,5-NP,0.00025735453154494185
H3N2_1672_T3_T_S506_N712_RP,1-PB2,0.000421547518000232
H3N2_1225_T2_N_S502_N708_RP,6-NA,0.0003022614695256976
H3N2_1867_T2_N_S507_N707_R,4-HA,0.00012145246313542868
H3N2_1814_T2_T_S502_N708_R,4-HA,0.00025279969242427027
H3N2_1848_T2_N_S505_N711_R,5-NP,0.0004620152896273242
H3N2_1869_T0_N_S508_N701_R,5-NP,0.0005063912690815366
H3N2_1414_T1_N_S504_N712_R,2-PB1,0.0001662519520977601
H3N2_3611_T4_N_S503_N709_R,2-PB1,0.00034774077358888986
H3N2_1876_T0_N_S517_N702_R,2-PB1,0.00013507188821246057
H3N2_1876_T2_N_S517_N704_R,8-NS,0.0003648662178095873
H3N2_1707_T0_N_S517_N708_R,6-NA,0.00029078655308322404
H3N2_3613_T2_T_S504_N705_R,2-PB1,0.00012605900300383512
H3N2_1868_T1_N_S507_N710_R,2-PB1,4.456144465777741e-05
H3N2_3612_T2_N_S503_N712_R,2-PB1,7.006454012927719e-05
H3N2_3612_T2_N_S503_N712_R,8-NS,0.00010121360996402872
H3N2_3611_T3_N_S503_N708_R,6-NA,0.000400390685221625
H3N2_1686_T3_T_S508_N702_RP,5-NP,0.0006818862225781205
H3N2_1227_T1_T_S503_N705_R,2-PB1,0.00011110124405456408
